BoroCT2010,RE80_Quad,IE80_Quad,CE80_Quad,RE90_Quad,IE90_Quad,CE90_Quad,RE00_Quad,IE00_Quad,CE00_Quad,RE10_Quad,IE10_Quad,CE10_Quad,RE11_Quad,IE11_Quad,CE11_Quad,RE12_Quad,IE12_Quad,CE12_Quad,RE13_Quad,IE13_Quad,CE13_Quad,RE14_Quad,IE14_Quad,CE14_Quad,RE15_Quad,IE15_Quad,CE15_Quad,RE16_Quad,IE16_Quad,CE16_Quad
3044400,3,3,3,3,3,3,3,3,3,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0
3044600,3,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
3045200,3,3,3,3,3,3,3,3,3,3,0,3,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0
3045400,3,3,3,3,3,3,3,3,3,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,4,0,0
3045600,0,3,3,0,3,3,0,3,3,3,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
3046000,0,3,3,1,3,3,1,3,3,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
3046400,3,3,3,3,3,3,3,3,3,3,0,3,3,1,3,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0
3047000,3,3,3,3,3,3,3,3,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,1,0
3047200,4,3,3,3,3,3,3,3,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3
3047400,0,3,3,3,3,3,3,3,3,3,0,3,3,0,3,3,0,4,3,0,4,3,0,3,3,0,3,3,0,3
3047600,0,3,3,0,3,3,3,3,3,3,0,0,3,0,0,3,0,0,3,0,0,3,0,3,3,0,0,3,0,0
3048100,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3049500,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3049900,0,3,3,0,3,3,0,3,3,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3050300,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1
3050500,1,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3050801,1,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3051001,1,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3051400,1,3,3,1,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
3051601,1,3,3,0,3,3,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
3051602,1,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3051700,0,3,3,0,3,3,0,3,3,0,1,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3051800,1,3,3,1,3,3,0,3,3,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3052000,1,3,3,1,3,3,1,3,3,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1
3052600,1,3,3,1,3,3,1,3,3,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
3052800,0,3,3,0,3,3,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
3053000,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3053200,0,3,3,0,3,3,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1
3053300,0,3,3,0,3,3,0,3,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3
3053400,0,3,3,0,3,3,0,3,3,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0
3053800,3,3,3,0,3,3,3,3,3,3,1,0,3,1,0,3,1,0,4,2,0,3,0,0,3,0,0,3,0,0
3054200,3,3,3,3,3,3,0,3,3,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0
3054400,0,3,3,0,3,3,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3055000,3,3,3,3,3,3,3,3,3,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0
3055200,3,3,3,4,3,3,3,3,3,3,0,0,3,1,0,3,0,0,3,1,0,3,1,0,3,1,0,4,1,0
3055800,3,3,3,0,3,3,0,3,3,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
3056000,3,3,3,0,3,3,0,3,3,0,1,0,0,1,0,0,1,0,3,1,0,0,1,0,0,1,0,0,1,0
3056200,3,3,3,0,3,3,0,3,3,3,1,0,0,0,0,3,1,0,3,0,0,0,1,0,0,1,0,0,1,0
3056400,3,3,3,3,3,3,3,3,3,3,1,0,3,1,0,0,1,0,3,1,0,0,1,0,0,1,0,0,0,0
